ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
16042,northeastwards,RB|JJ,3,"0,2,1",{(north)}{(east)}>ward>,93.75,17,122624,83.3333333333333,19,81919,87.5,33,42144,4,2.37E-05,0.000154487872702
16052,northwester,NN,3,"0,2,1",{(north)}{(west)}>er>,68.75,17,122624,76.1904761904761,22,126506,65.3761548614166,2274,4569119,2,3.55E-05,0.025027035377723
16054,northwesters,NN,3,"0,2,1",{(north)}{(west)}>er>,68.75,17,122624,76.1904761904761,22,126506,65.3761548614166,2274,4569119,2,3.55E-05,0.025027035377723
16055,northwestward,RB|JJ,3,"0,2,1",{(north)}{(west)}>ward>,100,17,122624,95.2380952380952,22,126506,93.75,33,42144,4,2.37E-05,0.000154487872702
16060,northwestwards,RB|JJ,3,"0,2,1",{(north)}{(west)}>ward>,100,17,122624,95.2380952380952,22,126506,93.75,33,42144,4,2.37E-05,0.000154487872702
16184,nurseryman,NN,3,"0,2,1",{(nurse)}>ory>{(man)},75,5,19708,75.2112676056338,356,725186,2.62E-05,0.002935269581338,70,211,300379,3
16191,nutcrackers,NN,3,"0,2,1",{(nut)}{(crack)}>er>,50,21,27666,55.5555555555555,10,21939,38.4953805543334,2274,4569119,2,3.55E-05,0.025027035377723
16223,oarsmanship,NN,3,"0,2,1",{(oar)}(man)>ship>,100,5,469,90.9523809523809,211,300379,94.6666666666666,76,164220,4,1.22E-05,0.000308975745404
16324,NATIONALCAR,NN,3,"0,2,1",{(nation)}>al>{(car)},90.9090909090909,23,303858,96.0839160839161,1431,4704731,9.14E-06,0.006642978526186,100,14,121302,3
16393,nearsightedness,NN,3,"0,2,1",{(near)}{(sight)}>ness>,77.7777777777777,10,130829,65,21,37472,27.0531400966183,1243,181553,4,0.000583851547482,0.016375714506411
16411,necromancer,NN,3,"0,2,1",{(necro)(manc)>er>},0,7,983,0,2,629,26.0448746150461,2274,4569119,2,3.55E-05,0.025027035377723
16412,necromancers,NN,3,"0,2,1",{(necro)(manc)>er>},0,7,983,0,2,629,26.0448746150461,2274,4569119,2,3.55E-05,0.025027035377723
16413,necromancy,NN,3,"0,2,1",{(necro)(manc)>y>},33.3333333333333,7,983,100,2,629,27.645875251509,2486,3870233,1,4.99E-05,0.029816159431485
16416,necrophiliac,NN|JJ,3,"0,2,1",{(necro)(philo)>iac>},50,7,983,44.8275862068965,30,53808,23.076923076923,14,1568,3,0.000637755102041,0.000154487872702
16417,necrophiliacs,NN,3,"0,2,1",{(necro)(philo)>iac>},50,7,983,44.8275862068965,30,53808,23.076923076923,14,1568,3,0.000637755102041,0.000154487872702
16418,necrophilism,NN,3,"0,2,1",{(necro)(philo)}>ism>,100,7,983,96.551724137931,30,53808,95.5555555555555,271,218200,3,5.50E-05,0.001853854472424
16485,neologism,NN,3,"0,2,1",{(neo)(log)>ism>},50,9,1629,57.9439252336448,215,380513,54.4444444444444,271,218200,3,5.50E-05,0.001853854472424
16486,neologisms,NN,3,"0,2,1",{(neo)(log)>ism>},50,9,1629,57.9439252336448,215,380513,54.4444444444444,271,218200,3,5.50E-05,0.001853854472424
